ts,humidity,smoke,temp
1594512094.3859746,51.0,0.0204112701224129,22.7
1594512112.798518,50.9,0.0204248581520852,22.6
1594512131.4763763,75.80000305175781,0.0136275211320191,19.700000762939453
1594512148.818683,75.9000015258789,0.0135087333295562,19.700000762939453
1594512164.677839,50.9,0.0204750336202321,22.6
1594512180.7944636,75.9000015258789,0.0132748367048515,19.700000762939453
1594512197.841233,50.9,0.0203797436473034,22.6
1594512212.5837967,50.9,0.0203527240087818,22.7
1594512227.328582,50.8,0.0204387166506673,22.6
1594512246.255759,51.0,0.0205482823192142,22.7
1594512260.997189,51.0,0.020397692858462,22.6
1594512277.4707866,76.0999984741211,0.0132748367048515,19.799999237060547
1594512294.1652725,51.0,0.0204476208102336,22.7
1594512310.0601006,76.9000015258789,0.0132748367048515,19.799999237060547
1594512330.9915383,77.80000305175781,0.0187864905644235,27.0
1594512348.8300364,78.9000015258789,0.0183119114391686,27.0
1594512364.3988764,51.0,0.0206772106525882,22.6
1594512382.8176394,51.0,0.0205483746671258,22.7
1594512397.5818694,51.0,0.0204932669527049,22.7
1594512412.5999038,75.80000305175781,0.0131038089189969,19.799999237060547
1594512430.7596412,51.0,0.0205208448766988,22.7
1594512449.4777734,75.5999984741211,0.0132748367048515,19.799999237060547
1594512463.8974855,78.0,0.0184269059272954,27.0
1594512482.573491,75.19999694824219,0.0132748367048515,19.700000762939453
1594512500.7652602,51.1,0.0205159517660394,22.6
1594512517.2920337,75.19999694824219,0.0132748367048515,19.700000762939453
1594512533.8488903,51.1,0.0204294358363917,22.6
1594512548.8305173,78.69999694824219,0.0185628624857915,27.0
1594512564.5294924,78.0,0.0184269059272954,27.0
1594512581.7687669,50.0,0.020461237669931,22.6
1594512596.515793,49.7,0.0204886722277338,22.5
1594512618.631261,49.6,0.0204886722277338,22.5
1594512633.3744545,49.5,0.0204794563689637,22.4
1594512649.1606364,74.9000015258789,0.0132748367048515,19.700000762939453
1594512666.0969007,77.69999694824219,0.0183500387636716,27.0
1594512681.7964954,77.5999984741211,0.0182610050466976,27.0
1594512696.2336426,49.1,0.0205344275669833,22.3
1594512714.656592,49.1,0.0205757967656393,22.3
1594512732.2246454,74.80000305175781,0.0132748367048515,19.600000381469727
1594512748.51534,74.80000305175781,0.0132748367048515,19.600000381469727
1594512766.2482638,48.9,0.0204794563689637,22.2
1594512780.9975388,48.9,0.0204932669527049,22.2
1594512799.42879,48.9,0.020397692858462,22.2
1594512817.8347602,48.8,0.0204891574035071,22.2
1594512836.2658176,48.8,0.0205434737368965,22.1
1594512854.3349094,74.5,0.0132748367048515,19.5
1594512871.2808971,78.19999694824219,0.0181099375964697,27.0
1594512889.1161487,79.0,0.0184269059272954,27.100000381469727
1594512906.311306,48.9,0.0206171479375301,22.0
1594512920.5171816,74.69999694824219,0.0131038089189969,19.5
1594512934.1249723,74.9000015258789,0.0131038089189969,19.5
1594512954.2263978,49.7,0.0204612376699309,22.0
1594512976.3431656,49.9,0.0205161506103149,22.0
1594512993.6351109,77.9000015258789,0.0183245012883274,27.0
